등급,races,TOTAL_bet,TOTAL_refund,r_BOX4_bet,r_BOX4_refund,r_BOX4_hit,m_BOX4_bet,m_BOX4_refund,m_BOX4_hit,r_BOX6_bet,r_BOX6_refund,r_BOX6_hit,m_BOX6_bet,m_BOX6_refund,m_BOX6_hit,TOTAL_refund_rate,TOTAL_roi,r_BOX4_refund_rate,r_BOX4_roi,m_BOX4_refund_rate,m_BOX4_roi,r_BOX6_refund_rate,r_BOX6_roi,m_BOX6_refund_rate,m_BOX6_roi
1등급,103,824000.0,1463820.0,206000.0,350200.0,20,206000.0,545950.0,29,206000.0,280580.0,52,206000.0,287090.0,50,1.7764805825242718,0.7764805825242719,1.7,0.7,2.6502427184466018,1.650242718446602,1.3620388349514563,0.36203883495145633,1.393640776699029,0.39364077669902914
2등급,171,1368000.0,1760090.0,342000.0,580800.0,38,342000.0,421900.0,32,342000.0,379340.0,79,342000.0,378050.0,75,1.2866154970760233,0.2866154970760234,1.6982456140350877,0.6982456140350877,1.233625730994152,0.23362573099415204,1.1091812865497077,0.1091812865497076,1.1054093567251462,0.1054093567251462
국3등급,197,1576000.0,2365830.0,394000.0,682400.0,40,394000.0,753500.0,35,394000.0,421900.0,94,394000.0,508030.0,97,1.5011611675126904,0.5011611675126904,1.7319796954314721,0.7319796954314721,1.9124365482233503,0.9124365482233503,1.0708121827411168,0.07081218274111675,1.2894162436548224,0.2894162436548223
국4등급,431,3448000.0,4990050.0,862000.0,1564400.0,94,862000.0,1349850.0,87,862000.0,1052920.0,214,862000.0,1022880.0,205,1.4472302784222737,0.4472302784222738,1.8148491879350348,0.8148491879350348,1.5659512761020882,0.5659512761020882,1.2214849187935035,0.2214849187935035,1.1866357308584687,0.18663573085846868
국5등급,908,7264000.0,10001900.0,1816000.0,2917750.0,186,1816000.0,2856050.0,179,1816000.0,2047870.0,446,1816000.0,2180230.0,417,1.3769135462555067,0.3769135462555066,1.6066905286343611,0.6066905286343612,1.572714757709251,0.5727147577092511,1.127681718061674,0.127681718061674,1.2005671806167402,0.2005671806167401
국6등급,436,3488000.0,5173080.0,872000.0,1472350.0,134,872000.0,1467800.0,127,872000.0,1000070.0,263,872000.0,1232860.0,247,1.4831077981651377,0.4831077981651376,1.6884747706422019,0.6884747706422019,1.683256880733945,0.683256880733945,1.146869266055046,0.14686926605504588,1.413830275229358,0.4138302752293578
국OPEN,51,408000.0,825640.0,102000.0,423350.0,10,102000.0,28400.0,7,102000.0,176210.0,24,102000.0,197680.0,20,2.023627450980392,1.0236274509803922,4.150490196078431,3.1504901960784313,0.2784313725490196,-0.7215686274509804,1.7275490196078431,0.7275490196078431,1.9380392156862745,0.9380392156862745
혼3등급,230,1840000.0,2467280.0,460000.0,711600.0,38,460000.0,582050.0,38,460000.0,562130.0,106,460000.0,611500.0,103,1.3409130434782608,0.34091304347826085,1.5469565217391303,0.5469565217391305,1.2653260869565217,0.2653260869565217,1.2220217391304349,0.22202173913043477,1.3293478260869565,0.3293478260869565
혼4등급,394,3152000.0,4591710.0,788000.0,1043400.0,83,788000.0,1207400.0,84,788000.0,1237360.0,215,788000.0,1103550.0,202,1.4567607868020305,0.45676078680203047,1.3241116751269035,0.32411167512690353,1.5322335025380711,0.5322335025380711,1.570253807106599,0.570253807106599,1.4004441624365482,0.40044416243654823
혼OPEN,41,328000.0,512430.0,82000.0,115050.0,12,82000.0,122100.0,12,82000.0,125100.0,22,82000.0,150180.0,22,1.5622865853658536,0.5622865853658536,1.403048780487805,0.4030487804878049,1.4890243902439024,0.48902439024390243,1.525609756097561,0.525609756097561,1.8314634146341464,0.8314634146341463
